,comment
479,"2006 பொங்கலுக்கு வெளியான ஆதி, பரமசிவன் படங்களை பார்த்து பேதியான ரசிகர்களின் ஆன்மா, 2023 பொங்கலால் சாந்தி அடைகிறது."
480,மன தைரியத்துடன் ரிவ்யூ பார்க்கும் அஜித் ரசிகரும் மன்றம் சார்பாக இந்த வீடியோ வெற்றி பெற வாழ்த்துக்கள் 
481,சும்மா வாழ்த்துக்கள் வாழ்த்துக்கள் என பல கமெண்ட்களை பார்த்து கடுப்பான ரசிகர்கள் சார்பாக வாழ்த்துக்கள் 
482,செவுடன் காதுல உதுன சங்கு தான் பங்கம் யா ️
483,இன்றுவரை வெற்றி நடை பேடும் விவேகம் ரிவ்யூ சார்பாக வாழ்த்துக்கள்.....
484,என்றும் தீதளபதி     இளய தளபதி விஜய்    67
485,தலைவன் எப்பவுமே அஜித் படம் வந்தா குஷி ஆகிடுவார்
486,அண்ணாத்தைக்கு வாரிசு பிறந்திருக்கிறது..  இருந்தாலும் இரண்டு படங்களும் வெற்றி பெற வாழ்த்துக்கள்.. 
487,சினிமா கூத்தாடிகளால்நாடு நாசமானது என்று வையும்  பூமர் ஆங்கிள்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துகள்
488,"வாரிசு : ஹிந்தி மெகா சீரியல் பாக்க அறிய வாய்ப்பு 
துணிவு : லாஜிக்கும் இல்ல மேஜிக்கும் இல்ல ரொம்ப கஸ்டம்
வாரிசு️துணிவு..... மேட்ச் ட்ரா.......
இவன் கெடக்ரா நாம்ம ரெண்டு படத்தையும் என்ஜாய் பண்ணி ஜெயிக்க வெப்போம்"
489,அலாவுதீன் ஹிந்தி நாடகம் சார்பாக துணிவு வெற்றியடைய வாழ்த்துகள்.
490,"தில் ராஜு ரசிகர்கள் சார்பாக
வாழ்த்துக்கள்"
491,ஆண்ட்டி இந்தியன் படத்திற்காக ஆஸ்கார் பெற்று ரெவியூ சொல்ல தகுதி பெற்று வந்த மாறன் அவர்களுக்கு வாழ்த்துக்கள் 
492,புளு சட்டை மாறனுக்கு தல தளபதி ரசிகர் மன்றங்கள் இணைந்து வழங்கும் புதிய பட்டம் “ வன்ம தேவன்” 
493,கமெண்ட் பாக்க வந்தவங்க ஒரு லைக் போடுங்க
494,இப்பதான் ரொம்ப சந்தோசமா இருக்கு என்று நினைக்கும் விஜய் ரசிகர்களுக்கு.பொங்கல் நல்வாழ்த்துக்கள் இது தளபதி பொங்கல் 
495,இதுவரைக்கும் அஜித் படத்தை தியேட்டர்... ஏன் டிவியில் கூட பார்க்காத ரசிகர்கள் சார்பாக வாழ்த்துக்கள் 
496,நம்ம குறைய கேட்க ஆளில்லாத ரசிகர்கள் சார்பாக வாழ்த்துக்கள் 
497,ராமராஜன் ரசிகர்கள் சார்பாக வாழ்த்துக்கள்
498,ஒரு கையில் கட்டிங்  ஒரு கையில் சிகரெட் வைத்துக்கொண்டு ரிவிவ் பார்க்கும் ரசிகர்கள் சார்பாக படம் வெற்றி அடைய வாழ்த்துக்கள்
499,இப்பதான் ரொம்ப சந்தோசமா இருக்கு என்று நினைக்கும் விஜய் ரசிகர்களுக்கு.பொங்கல் நல்வாழ்த்துக்கள் இது தளபதி பொங்கல் 
500,மன நோயாளியாக மாறி இருக்கும் அஜித் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
501,"நான் அஜீத், விஜய் இருவர் படமும் பார்ப்பதில்லை. ஆனால் அஜீத்தை அவரது குணத்திற்காக பிடிக்கும்."
502,எந்த படத்துக்கு கேவலமா விமர்சனம் பண்ணிருக்கானு பாக்க வந்த ரசிகர்கள் சார்பாக வாழ்த்துக்கள் 🫣
503,இரண்டு ரசிகர்கள் திட்டுவார்கள் என்று ரெண்டு பேத்துக்கும் பாரபட்சமில்லாமல் வைத்து சென்றுவிட்டார்
504,எப்படா இப்போ தான் டா மனசு நிமதியா இருக்குனு யார் யார் நினைக்கிறீங்க
505,"நீல சொக்கா என்ன ஒலரினாலும் அதை காதில் போட்டு கொள்ளாமல், 'துணிவு' போன்ற தரமான படங்களை திரையரங்கம் சென்று பார்த்து மகிழும் சினிமா ரசிகர்கள் சார்பாக வாழ்த்துக்கள்."
506,மகா நதி சங்கரின் நடிப்பு அருமை
507,இலண்டன் வாழ் தமிழ் மக்கள் சார்பாக பொங்கல் வெற்றி படமான துணிவுக்கு வாழ்த்துகள்
508,துணிவு நன்றாக உள்ளது என்று கூறும் ரசிகர்கள் சார்பில் படம் வெற்றி பெற வாழ்த்துக்கள்  .. 
509,அஜித் லுக் நல்லா இருக்கு என்று சொன்னதை கேட்டு ஆறுதல் அடைந்த ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் 
510,ஊதா சட்டை அண்ணன் நீங்க அஜித் வச்சி ஒரு படம் பண்ணுஙக அதாவது நல்ல இருக்கானு பாக்கலாம்
511,"நடிகர் ஒருவரின் வளர்ச்சி அதிகரிக்கும் போது இது போன்ற விமர்சனம் வர தான் செய்யும்
அது தல யாக இருந்தாலும் சரி தளபதி ஆக இருந்தாலும் சரி"
512,காசு தரலைனு வன்மத்தை கக்குற வாஷ்அவுட் இண்டி இந்தியன் டைரக்டருக்கு பொங்கல் வாழ்த்துக்கள்
513,கண்ணத்தில் தொப்பை எதும் இல்லை என்பதே அஜித்துக்கு சந்தோஷம்
514,நீங்க உண்மையிலேயே டம்மிதான் போல
515,"இந்த மாதிரி பல்ப்கள்  விஜய், அஜித் படங்கள் நெறைய தடவை வாங்கிருந்தாலும் , 

சேர்ந்து பல்ப் வாங்குறது இதான் 1ஸ்ட் டைம்....."
516,"அஜித் எப்படி நடித்துரிக்கிறார் என்று சொன்னது, மோகனாசுந்தரம் காமெடி நல்லா இருக்கு னு சொன்னது, வினோத் திறமையை புகழ்ந்து பேசியது. நீங்கள் ஒரு நல்ல விமர்சகர் என்றே சொல்ல வேண்டும். கதை நல்லா இல்ல மற்றும் திரைக்கதை நல்லா இல்ல. "
517,த லெஜெண்ட் அண்ணாச்சி ரசிகர்கள் சார்பாக இரண்டு படமும் தோல்வி அடைய வாழ்த்துக்கள்
518,வாரிசு & துணிவு படங்கள் பார்த்து த்ரிப்தி அடையாமல் இருக்கும் ரசிகர்கள் சார்பாக இரு படமும் வெற்றி பெற வாழ்த்துக்கள் 
519,ஏமாந்தவர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
520,எந்தப் படம் வந்தாலும் தியேட்டரில் போய் பார்க்கும் ரசிகர்கள் சார்பாக வீடியோ வெற்றி பெற வாழ்த்துக்கள்
521,மாறன் சார்  க.க.போ
522,வலிமை படம் பஜன் லால் சேட் சங்கம் சார்பில் படம் வெற்றி பெற வாழ்த்துக்கள் 
523,துணிவு - துணிச்சலான வெற்றி 
524,காலம்காலமாக அல்டர் ப்லோப் அள்ளி கொடுக்கும் தல தளபதயின் ரசிகர்கள் சார்பாக வாழ்த்துக்கள்
525,உங்களுடைய  துணிவு விமர்சனம் இன்று மதிய த்திலிருந்து  சோா்ந்து  போயிருந்த  விஜய் ரசிகர்களின் முகத்தில் சந்தோஷத்தை  வெளிப்படுத்தியது  என்று கூறினால் அது மிகையாகாது 
526,காசு வாங்கிக் கொண்டு ரிவ்யூ கொடுத்த அண்ணன் ப்ளூ சட்டை அவர்களுக்கு மனமார்ந்த நன்றிகள் 
527,அஜித் ரசிகர்கள் சார்பாக  வெற்றி பெற வாழ்த்துக்கள்
528,"""விஜய்யிடம் பொட்டி வாங்கிட்டாரா"" என்று சந்தேகத்தோடு வீடியோ பார்க்க வந்தவர்கள் சார்பாக துணிவு படம் வெற்றி பெற வாழ்த்துகள் "
529,தனியார் வங்கியால் பாதிக்கப்பட்டவர்கள் கொண்டாடும் வெற்றி 
530,ஒன்னுமே இல்லாம கமெண்ட் க்கு எதுக்கு இத்தனை லைக் எனக்கு புரியலை
531,அடுத்த தர்மஅடி எந்த தியேட்டரில் வாங்குவார் என்று எதிர்பார்க்கும் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
532,பலகோடி ரசிகர்களை கொண்ட கரகாட்டகாரி ராஷ்மிகா ரசிகர்களின் சார்பாக வாரிசு வெற்றி பெற வாழ்த்துக்கள்
533,சதுரங்கவேட்டை தீரன் திரைப்படம் டைரக்டர் இது மாஸ் ஹீரோ திரைப்படம் இது இப்படித்தான் பிடிக்க முடியும் ப்ளூ சட்டை முண்டம் தரம் குறைந்து விமர்சனம் பண்ண கூடாது
534,"7:34 , வாழ்த்துக்கள்"
535,நீ என்ன சொன்னாலும் என்றும் தல தான் 
536,அடுத்தவன் படைப்பில் குறை சொல்லி சம்பாதிக்கிற இதெல்லாம் ஒரு பிழைப்பு. இன்னும் எத்தனை நாள் பார்ப்போம்
537,எப்படியாவது இந்த படத்தையும் கலுவி உத்தனும் னு ரிவியு பாக்க வந்திருக்கும் வாரிசு ரசிகர்கள் சார்பாக படம் வெற்சி பெற வாழ்த்துகள்
538,ஓட்டத்தில் உசைன் போல்ட்ஐ மிஞ்சிய ரம்மி ரவி ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்.
539,வினோத் ஜெயம் ரவி கூட்டணி சிறப்பாக இருக்கும்.
540,தாத்தா ரசிகர் சார்பாக துணிவு படம் வெற்றி பெற வாழ்த்துக்கள் 
541,வாரிசு பொங்கல் 
542,நல்ல கற்பனை கதை சொல்ற
543,"அவன் அவன் 1000, 2000 வரை கொடுத்தாலும் டிக்கெட் கிடைக்கலை ன்னு படம் பாக்காம வந்தானுங்க . நீங்க உருட்டுங்க சார் உருட்டுங்க உருட்டுங்க.."
544,ரொம்ப கஷ்டம் 
545,வாரிசு படம் அறுவையோ அறுவை
546,துணிவு 
547,சினிமா உனக்கு மட்டும் தான் பாக்க தெரியுமா ஏன் எங்களுக்கு பாக்க தெரியாதா நீ பண்ணுணத விட இந்த படம் நல்லாதான் இருக்கு
548,ஒரே குஷ்டம் ச்சே ச்சே கஷ்டம்ப்பா
549,"படத்தை சரியாக பார்க்காமல் விமர்சனம் சொல்லும் மாறன். இந்த படத்தில் நிறைய இடத்தில் அஜித் மீது குண்டு பாந்தது , குருட்டு மாறன்."
550,இந்த மாதிரி கேரக்டரை ஏற்று நடிப்பதற்கு நடிகர்கள் வெட்கப்பட வேண்டும்
551,"படத்தை படமாக பார்க்க வேண்டும்...
குறை கண்டு பிடிக்கவே படத்தை பார்ப்பவர்கள் உண்டு..."
552,துணிவு தலை குனிவு!
553,நல்லவேள வாரிசைவிட துணிவு ரிவீவ்வு பெட்டரா இருக்குது 
554,துணிவு = ஜென்டில்மேன
555,அப்ப பாக்கலாம் சார்
556,துணிவு ஒரு நல்ல படம்
557,100 %  சரியான விமர்சனம் யா    படம் முழுக்க மொக்கதான்
558,அய்யோ பாவம் நீல நரி !!!!?
559,ஆண்டி இண்டியன் என்ற மாபெரும் மொக்க படத்தை பார்த்து அடிதாங்கி முடியாமல் உடம்பு வலியுடன் வீட்டிற்கு சென்றோர் சார்பாக இத்திரைப்படம் வெற்றிபெற வாழ்த்துக்கள்
560,"எந்த படத்துக்கு நல்ல முறையில் ரிவ்யூ கூடுப்ப......
உன் வாயில பாராட்டு வாங்க எந்த டைரக்டரும் இந்த பூமியில் இல்லை..........
நீயே படம் பண்ணி நீயே உன்னை பாராட்டி ரிவ்யூ கூடுத்துக்க............
உன் கற்பனைக்கு நீ தான் படம் எடுக்கனும்........"
561,நீங்க ஹீரோ வா இருந்து டைரக்ட் பண்ண படம் என்ன வெற்றி படமா... லவ் டுடே மாதிரி... தீரன் அத்தியாயம் 1க்கு  நீங்க நல்ல செர்டிபிகேட் எல்லாம் கொடுக்கல அய்யா...
562,யோ பச்சை சட்டை எந்த படம் ரிலீஸ் ஆச்சு உன்னோட ரிவ்யூ பார்த்துட்டு தாயா படத்துக்கு போவ துணிவு படம் நல்லா இல்லை நெனச்சேன் படம் பார்த்தவன் எல்லாருமே நல்லா இருக்கு சொல்றான் நானும் நேற்றுதான் பார்த்தேன் இதுக்கு மேல படத்தை எப்படியா எடுக்க முடியும் நீ எடுத்த இளவு படம் மாதிரி இருக்கணும்னு நினைக்கிறியா பேர ப்ளூ சட்டை க்கு பதிலாக பச்சை சட்டைணு மாத்திக்கோ நீங்க வளர்ந்து வர வரைக்கும் கரெக்டா பேசுவீங்க அப்புறம் எல்லாரும் மாதிரி தான் நீங்களும்
563,உதயநிதி இந்த வீடியோவை பார்த்தாரா
564,"அதை ஒரு குப்பை படம் எடுக்காதவன் இப்படி ரிவியூ சொன்னா ஏத்துக்கலாம்,அதை நீ சொல்றபாரு அதான்டா கொடுமை,என்ன கேமரா விலை பத்தாயிரம் இருக்குமாடா புளு சட்டை,இரண்டு படமும் ஓகே தான்"
565,அறுமைவிமர்சனம்
566,படம் நல்லாதான் இருக்கு நீ போயா?
567,"படத்துல கதை, கருத்து தேவையில்லை.. படம் போர் அடிக்காம இருந்தாலே போதும்"
568,நீ என்னைக்காவது அடி வாங்கி சாக போற...பாத்து இருந்துக்கோ
569,அது எப்படிங்க என் பொண்டாட்டி அழகில்லை என்று நான் சொல்லலாம் அடுத்தவன் பொண்டாட்டி அழகில்லை என்று சொல்லிக்கிட்டு இருக்கீங்க தொடர்ந்து இந்த மாதிரி தவறு செய்யாமல் இருக்கவும்
570,செருப்பாலே  அடிப்பேன்....
571,"இவன் விக்ரம் -2, வேதாளம், விஸ்வாசம் படத்திற்கே கேவலமான விமானங்கள்-தான் சொன்னான்"
572,விஜய் படம் அஜித் படம் இரண்டையும் பாத்தாச்சு ரெண்டு படத்துல எது ரொம்ப மொக்க என்று கமெண்டில் சொல்லவும்
573,இவரோட ரிவீவ்வெல்லாம் கேட்டுட்டு போனீங்கன்னா அவ்ளோ தான். இவர் பேச்சையெல்லாம் ஒரு பெர்சன்ட் கூட மதிக்காதீங்க.
574,யாருக்கெல்லாம் தல பிடிக்கும்?
575,குணிவு படம் பார்த்து பாதியில் வெளிய வந்த ரசிகர்கள் சார்பாக வீடியோ வெற்றிபெற வாழ்த்துக்கள்...
576,மாறன் உங்க அப்பாவும் உங்க மாமனாரும் அங்க டிக்கெட் வித்துட்டு இருந்தாரே அவரை அதையும் சொல்ல வேண்டிய தானே
577,துணிவு நல்லாயிருக்கு
578,நீ சொன்னா கரெக்டா இருக்கும்.நீ கடவுளா
579,எவ்வளவோ பேர் சொல்லியும் கேட்காமல் துணிவு படத்தை துணிச்சலோடு பார்த்தேன் இப்பேர்ப்பட்ட குப்பை படத்தை இதுவரை நான் பார்த்ததே இல்லை
580,பூளு சட்டை மாறன்
581,"நெகடிவ் மன்னன் மாறன்
 நீ ஏதாவது ஒரு படத்துக்கு பாசிட்டிவ் விமர்சனம் பண்ணீருக்கயா"
582,உனக்கு உனக்கு புடிக்கல மாறலாம் படம் யாராலும் எடுக்க முடியாது டா ரசிகர்கள் ரசிக்கும் படி தண்டா படம் எடுக்க முடியும் உன்னை போல படங்களையெல்லாம் குறை சொல்லிப் உழைப்பவனுக்கு எப்படி படம் எடுத்தாலும் எனவே தீரன் அதிகாரத்தையும் சதுரங்க வேட்டையும் குறை சொன்னவன் நி வெற்றியான பின் வெற்றிப்படம் என்கிறாய்.
583,நீ ரத்தம் வாந்தி எடுத்து சாவலயா...
584,உங்களுக்கு எப்படி தான் படம் எடுக்க வேண்டும் இல்லையெனில் நீங்கள் தான் இருவரையும் ஒன்றாக சேர்த்து ஒரு படம் எடுக்க அதுவும் உங்களால் முடியவில்லை என்றால் தேவை இல்லாமல் இப்படி ஒரு கேவலமான ரிவியூவ் உங்களுக்கு ரிவே சரியாக கொடுக்க முடியவில்லை இதில் விளம்பரம் ஒரு கேடு
585,உனக்கு எப்டி தான் டா படம் எடுத்தா புடிக்கும்
586,நீ சோற திங்கிறியா இல்லை சுசுசு.. யா திங்கிறியா ல
587,இவ்ளோ பேசர இல்ல நீ எடுத்த படம் வெலங்கவே இல்ல   அதுக்கு என்ன சொல்ர
588,இவனுக்கு வேற வேலையே இல்ல துணிவு & வாரிசு நல்லா இருக்கு பாருங்க
589,இத விட நல்லா எடுக்க உங்க அப்பன் பெத்த புள்ளையாள தாண்டா முடியும் உங்க அப்பன் மவனே.
590,நல்ல கதையை நீங்களே சொல்லுங்க புலு சட்டை......
591,துணிவு சூப்பரா இருக்கு
592,படம் மிக கொடுமை. இந்த மாதிரி படம் எடுக்குறவனுங்க மக்கள எவ்வளவு முட்டாளாக நினைக்கிறார்கள். படம் முழுவதும் சுட்டு கொண்டே இருக்கிறார்கள். சரியான டுபாக்கூர் படம். அஜித்தை பார்த்த நிம்மதியை தவிர படம் ஒரு பூஜ்யம்.
593,உன் அறுவ தாங்க முடியலே டா படமே பரவல்லடா
594,நீ எந்த படத்த நல்லா இருக்குனு சொன்ன போடா
595,பேய் ஒழுங்க படத்தை பார் ட சு
596,நீயே ஒரு ஆன்ட்டி இந்தியன் மாதிரி இருக்குற த வெஸ்ட் இண்டீஸ் கிழவா
597,போடா ஜோக்கர்
598,போட நயே உனக்கு வேற வேலை இல்லை
599,டோய் பாடு...........
600,வாரிசு ஹெச்டி பிரிண்டில் படம் பார்த்துட்டு வந்து ரிவ்யூ பார்க்கும் ரசிகர்கள் 
601,அப்பாடா என் மனசுல இருந்த பாரமே குறைஞ்சிடுச்சு...... 
602,அண்ணாத்தை படத்தை சீரியல் என்று ஏலனம் செய்த விஜய் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்.....
603,எப்படா வீடியோ போடுவானு காத்துட்டு இருந்தவர்களின் சார்பாக வீடியோ வெற்றி பெற வாழ்த்துக்கள் 
604,துணிவு படத்தை  விட வாரிசு படத்தை வச்சி செஞ்சி இருக்கும்  ப்ளூ சட்டை என்று கவலை படும் விஜய் ரசிகர்கள்  சார்பாக வாழ்த்துக்கள்
605,எப்படியும் கலாய்க்க போறார்னு எதிர்பார்த்து வந்த பார்வையாளர்கள் சார்பாக படம் வெற்றியடைய வாழ்த்துகள்
606,என்னதான் வாரிசு படத்தை கழுவி ஊத்துனாலும் கண் கலங்காமல் படம் பார்க்க செல்லும் ரசிகர்கள் சார்பாக வாழ்த்துக்கள்
607,பொங்கலுக்கு லீவு கிடைக்காமல் வேலைக்கு போகும் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்.....
608,உண்மைதான்....அப்படித்தான் இருந்தது....எல்லாம் செயற்கையான பாசம்....யாரும் ஒட்டவில்லை......
609,துணிவுக்கு என்னென்ன சொல்ல போறாரோ னு கவலை படும் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
610,துணிவு'க்கு என்னென்ன சொல்ல போராரு என மனதை வலிமை படுத்திக்கொண்டு காத்திருக்கும் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துகள் 
611,ஹிந்தி மெகா சீரியல் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் 
612,காசு  இல்லாமல்  படம்  பக்கமுடியாத  ரசிகர்கள்  சார்பாக படம்  வெற்றி  பெற  வாழ்த்துக்கள் 
613,தினமும் குளிக்காமல் ஒரே சட்டையை போட்டுகொண்டு வரும் ப்ளூ சட்டை மாரன் ரசிகர்கள் சார்பாக படம் வெற்றி அடைய வாழ்த்துக்கள்...
614,"முதல் நாள் முதல் காட்சி டிக்கெட்  
கிடைக்காமல் இரண்டாம் காட்சி பார்த்த ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்"
615,யார் மனதையும் புன்படுத்தாமல் ரீவியூ கொடுத்தமைக்கு நன்றி 
616,1கோடி ரூபாய் கமிசன் வாங்கி இருக்கேன்னு சொன்னவன் வாய்லயே செருப்படி கொடுத்தாரு மாறன்
617,டவுன்லோட் செய்ய காத்திருக்கும் ரசிகர்கள் சார்பாக படம் வெற்றியடைய வாழ்த்துக்கள்.. 
618,இந்திய தொலைக்காட்சிகளில் முதல் முறையாக என்று எப்போ வாரிசு திரைப்படம் போடுவார்கள் என எதிர்பார்க்கும் சங்கம் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
619,டியூசன் செல்லும் மாணவர்கள் சார்பாக படம் வெற்றி அடைய வாழ்த்துக்கள்
620,இன்னமும் ஆண்டி இந்தியன் படம் பார்க்காதவர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் 
621,வாரிசு விமர்சனம் பார்த்து தூங்குவோர் சங்கம் சார்பாக படம் வெற்றியடைய வாழ்த்துகள் 
622,தமிழ் படம் என்று எதிர்பார்த்து தெலுங்கு படம் பார்த்த ரசியர்கள் சார்பாக வாழ்த்துக்கள்
623,நீங்கள் சொன்னதிலியே பிரகாஷ் ராஜ் இனி படத்தில் வில்லனாக கூட நடிக்க முடியாது போல...
624,ஹிந்தி மெகா சீரியல் வெற்றி பெற தல ரசிகர்கள் சார்பாக வாழ்த்துக்கள் 
625,இனியாவது தமிழ் முவி திறுந்தட்டும்.. முக்கியமாக விஜய் அஜித்திற்கு...
626,ஆண்டி இந்தியன் படம் பார்த்துவிட்டு இன்னும் இவனை உயிருடன் விட்ட ரசிகர் சார்பாக படம் வெற்றி அடைய வாழ்த்துகள் 
627,டிக்கெட் கிடைக்காமல் வருத்த படாத வாலிபர் சங்கம் சார்பாக   வெற்றி பெற்ற வாழ்த்துகள்
628,சாரி தல நீங்க சொன்னது கேட்காம படத்த பார்த்து தொலச்சிட்டென்...
629,ஆட்டுக்கு எதுக்கு தாடி.. நாட்டுக்கு எதுக்கு ஆளுநர் என்று பகிரங்கமாய் வெளிப்படுத்தியமைக்கு .. எங்க தலைக்கு தில்ல பார்த்தியா 
630,படம் வெற்றி பெற வாழ்த்துகிறேன் தளபதி ரசிகர் சார்பாக...
631,ராஷ்மிகா ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் 
632,"ஆட்டுக்கு எதுக்கு டாடி, நாட்டுக்கு எதுக்கு கவர்னர்,படத்துக்கு எதுக்கு ஹீரோயின் "
633,படம் பார்த்து வந்து ஆருதாலா ரிவிவ் பார்க்கும் தளபதி ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்ததுக்கள்
634,"""இது கவிதை(னு) யார் சொன்னா?""
""பைத்தியக்காரன்""
""முட்டாள்களுக்கு மட்டும்""
""எனக்குப் பொக்கிஷம்"""
635,தளபதி 67 க்கு காத்திருப்பவர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
636,துணிவு ரிவ்யூ கேட்க இன்னும் அதிக மன தைரியத்துடன் காத்துக் கொண்டிருக்கும் தல அஜித்குமார் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் 
637,சரத்குமாரை பதம் பார்க்க ஆசைப்படும் நிகிதா ரசிகர்கள் மன்றம் சார்பில் படம் வெற்றி பெற வாழ்த்துக்கள்
638,இப்போ வரும் படத்தை தியேட்டரில் பார்க்கவிரும்பாத ரசிகர்கள் சார்பாக வாழ்த்துக்கள்
639,"துனிவுடன், வரிசு விமர்சனம் பார்கே வந்த தல - தளபதி ரசிகர்கள் சர்பகா படம் வெற்றி பெற வாழ்த்துக்கள்"
640,வெளுத்து போன பச்ச சட்ட மாறனை ப்ளூ சட்டை மாறன் என சொல்லும் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துகள்.
641,மெகா சீரியல் வெற்றி பெற வாழ்த்துக்கள்
642,மிஸ்டர் பாரத் + ராஜா சின்ன ரோஜா + அண்ணாமலை = வாரிசு ️️‍
643,வாரிசுக்கு ஏற்ற வில்லன் நம்ம அண்ணாச்சி மாறன்
644,"ஆட்டுக்கு எதுக்கு தாடி, நாட்டுக்கு எதுக்கு கவர்னர், இந்த படத்துக்கு எதுக்கு ஹீரோயின். நீலச் சட்டை "
645,என்ன கவலை இருந்தாலும் உங்க விமர்சனத்த பார்க்கும் பொது கவலைகள் மறந்து போகுது நன்றி அண்ணா
646,"""வார்ணிஸு"" ரசிகர்கள் சார்பாக வாழ்த்துக்கள்..."
647,"வாரிசு ""கம்பெனி முன்னேற்றக் கழகத்தின்"" சார்பில் வாரிசு திரைப்படம் வெற்றி பெற வாழ்த்துக்கள்"
648,தல ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் 
649,படம் வெற்றி பெற இந்த படத்தின் சார்பாக வாழ்த்துக்கள் ️
650,நேற்று மாலை இந்த திரைப்படத்திற்கு போயிருந்தேன் மக்கள் கூட்டம் திரையரங்கம் முழுவதும் இருந்தது .... அனைத்து மக்களும் மிகவும் மகிழ்ச்சியுடன் இந்த திரைப்படத்தை  கண்டு மகிழ்கிறேன்... அதுதான் இந்தத் திரைப்படத்திற்கு கிடைத்த மிகப்பெரிய வெற்றி.
651,படம் இன்று தான் ரிலீஸ் என தெரியாமல் இருக்கும் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் 
652,தளபதி ரசிகர்களுக்கு ஆழ்ந்த அனுதாபங்கள்
653,அடுத்து துணிவு படத்தின் ரிவ்யூக்காக காத்திருக்கும் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் 
654,கிழி கிழினு கிழிப்பானு பயந்து கிட்டே வீடியோ பார்க்க வந்த விஜய் ரசிகர்களுக்கு படம் வெற்றிபெற வாழ்த்துக்கள்
655,கடைசியில் சொன்னீங்க பாருங்க ஒரு வார்த்தை வீட்ல வேலை செய்ற ஆயா கூட பியூட்டி பார்லர் போயிட்டு வந்த மாதிரி இருக்கு அதுதான் செம்ம சிரிச்சு சிரிச்சு வயிறு வலிக்குது 
656,தமிழ் சினிமா சூப்பர் ஸ்டார்ஸ்கள் நல்ல கதை உள்ள படங்களை தேர்வு செய்ய தவறினால் தோல்வி தான் ஏற்படும்.. ஆனால் அவர்களின் கவனம் சம்பளத்தில் தான் உள்ளது 
657,தமிழில் ஹிந்தி சீரியல்  பார்க்கும் ரசிகர்கள் சங்கம் சார்பகா படம் வெற்றி பெற வாழ்த்துக்கள்...
658,தளபதி நடிச்சபோதும் என்று நினைக்கும் ரசிகர் சார்பாக வாரிசு படம் வெற்றிபெற வாழ்த்துக்கள்
659,கொடுமைகளை தாங்க முடியாமல் தவிக்கும் ரசிகர்கள் சார்பாக வாழ்த்துக்கள்.
660,ஆறுதலுக்காக பார்க்க வந்த அஜீத் ரசிகர்களுக்கு வாழ்த்துக்கள்
661,விமர்சனத்தை பார்த்து விழுந்து விழுந்து சிரித்தவர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்
662,மன ஆறுதல் தேடி வந்திருக்கும்  அஜித் ரசிகை சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் 
663,ப்ளு சட்டை மாறன் ரிவ்யூவில் வரும் கமெண்ட் பார்க்கும் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துகிறோம்
664,சன் டிவி-யில் இந்த சீரியல் போட மாட்டார்களா என்று தவிக்கும் நண்பர்கள் சார்பாக படம் வெற்றிப்பெற வாழ்த்துக்கள் 
665,படமே பாக்காம படத்திற்கு ரிவிவ் சொல்லுவோர் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் 
666,ஆட்டுக்கு எதுக்கு தாடி நாட்டுக்கு எதுக்கு கவர்னர்... சூப்பர் தல
667,தவறாமல் நாடகம் பார்க்கும் ரசிகர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் 
668,"இது வெறும் மெகா சீரியல் இல்ல, ஹிந்தி மெகா சீரியல்

நாளைக்கு என்ன எல்லாம் சொல்ல போறானோ"
669,நான் விஜய் ரசிகன் தான் ஆனா என்னாலயே சிரிப்பு அடக்க முடியலை ப்ளூ சட்டை
